id;name;profile_picture;email;phone_number;is_approved;refresh_token;refresh_token_expires;role
1;Division Fantastic firewall;strategize;Reymundo.Jerde71@hotmail.com;Chair Engineer metrics;true;11429;81909;SUPERADMIN
2;XSS;ivory Ergonomic Steel;Alex.Graham37@gmail.com;array;false;49459;98021;BRANCHADMIN
3;regional Web Ghana;Island cross-platform;Harmon.Beatty71@yahoo.com;Congolese optimal;true;6925;82206;COMPANYADMIN
4;Yemen defect;Wooden;Charles_OConnell@yahoo.com;Ergonomic Carolina e-business;false;89230;18749;BRANCHADMIN
5;Forward invoice Shirt;blue;Clare.Howell93@hotmail.com;Leone Awesome;false;68247;84594;BRANCHUSER
6;incremental Wyoming;viral Alabama PNG;Waldo86@yahoo.com;HDD back-end;false;62720;37455;SUPERADMIN
7;Product;Dirham analyzing evolve;Anya.Stiedemann23@yahoo.com;invoice;true;83769;67874;BRANCHADMIN
8;alarm Gloves;parsing deposit Bedfordshire;Keith.Crona54@gmail.com;Synchronised;true;2766;32003;BRANCHUSER
9;JSON deposit;Pants 1080p Nigeria;Savanna94@yahoo.com;Home withdrawal Kuwait;true;98756;24650;BRANCHUSER
10;Canyon payment payment;Shoes moderator;Brenna_Glover77@gmail.com;deposit compress;true;80159;60972;BRANCHUSER
